date,open_price,high_price,low_price,close_price,volume,symbol,daily_return,MA_7
2025-11-03,519.805,524.96,514.59,517.03,22374742,MSFT,0.0,523.2499999999999
2025-11-04,511.76,515.55,507.84,514.33,20958663,MSFT,-0.005222134112140342,519.3614285714285
2025-11-04,511.76,515.55,507.84,514.33,20958663,MSFT,0.0,517.7285714285714
2025-11-05,513.3,514.83,506.575,507.16,22883851,MSFT,-0.013940466237629567,515.0714285714286
2025-11-05,513.3,514.83,506.575,507.16,22883851,MSFT,0.0,513.5500000000001
2025-11-06,505.66,505.7,495.81,497.1,27406496,MSFT,-0.019835949207350767,510.5914285714286
2025-11-06,505.66,505.7,495.81,497.1,27406496,MSFT,0.0,507.7442857142857
2025-11-07,496.945,499.377,493.25,496.82,24019764,MSFT,-0.0005632669483002228,504.85714285714295
2025-11-07,496.945,499.377,493.25,496.82,24019764,MSFT,0.0,502.35571428571427
2025-11-10,500.035,506.85,498.8,506.0,26101480,MSFT,0.018477517008171906,501.1657142857143
2025-11-10,500.035,506.85,498.8,506.0,26101480,MSFT,0.0,501.0
2025-11-11,504.8,509.6,502.3488,508.68,17980020,MSFT,0.005296442687747094,501.2171428571429
2025-11-11,504.8,509.6,502.3488,508.68,17980020,MSFT,0.0,502.87142857142857
2025-11-12,509.355,511.67,499.1201,511.14,26574851,MSFT,0.004836046237320035,504.8771428571428
2025-11-12,509.355,511.67,499.1201,511.14,26574851,MSFT,0.0,506.92285714285714
2025-11-13,510.31,513.5,501.29,503.29,25273114,MSFT,-0.015357827601048535,507.8471428571429
2025-11-13,510.31,513.5,501.29,503.29,25273114,MSFT,0.0,507.46000000000004
2025-11-14,498.23,511.6,497.44,510.18,28505746,MSFT,0.013689920324266192,508.0571428571429
2025-11-14,498.23,511.6,497.44,510.18,28505746,MSFT,0.0,508.27142857142854
2025-11-17,508.45,512.12,504.91,507.49,19092752,MSFT,-0.005272648869026564,508.1014285714286
2025-11-17,508.45,512.12,504.91,507.49,19092752,MSFT,0.0,507.58000000000004
2025-11-18,495.365,502.98,486.78,493.79,33815114,MSFT,-0.02699560582474525,505.1014285714286
2025-11-18,495.365,502.98,486.78,493.79,33815114,MSFT,0.0,503.7442857142857
2025-11-19,490.1,495.1872,482.83,487.12,23245314,MSFT,-0.013507766459426085,501.4342857142857
2025-11-19,490.1,495.1872,482.83,487.12,23245314,MSFT,0.0,498.14
2025-11-20,492.71,493.57,475.5,478.43,26802542,MSFT,-0.017839546723599886,493.60428571428577
2025-11-20,492.71,493.57,475.5,478.43,26802542,MSFT,0.0,489.45285714285717
2025-11-21,478.5,478.92,468.27,472.12,31769248,MSFT,-0.013188972263445065,484.40000000000003
2025-11-21,478.5,478.92,468.27,472.12,31769248,MSFT,0.0,481.30428571428575
2025-11-24,475.0,476.9,468.02,474.0,34421046,MSFT,0.003982038464797055,478.4771428571429
2025-11-24,475.0,476.9,468.02,474.0,34421046,MSFT,0.0,476.6028571428572
2025-11-25,474.07,479.15,464.89,476.99,28019793,MSFT,0.006308016877637046,475.1557142857143
2025-11-25,474.07,479.15,464.89,476.99,28019793,MSFT,0.0,474.94999999999993
2025-11-26,486.31,488.31,481.2,485.5,25709079,MSFT,0.01784104488563698,475.96000000000004
2025-11-26,486.31,488.31,481.2,485.5,25709079,MSFT,0.0,477.8714285714286
2025-11-28,487.595,492.63,486.65,492.01,14386730,MSFT,0.013408856848609707,480.71285714285716
2025-11-28,487.595,492.63,486.65,492.01,14386730,MSFT,0.0,483.2857142857143
2025-12-01,488.435,489.8599,484.6475,486.74,23963993,MSFT,-0.010711164407227414,485.10571428571427
2025-12-01,488.435,489.8599,484.6475,486.74,23963993,MSFT,0.0,486.4985714285714
2025-12-02,486.715,493.4999,486.32,490.0,19562722,MSFT,0.006697620906438662,488.35714285714283
2025-12-02,486.715,493.4999,486.32,490.0,19562722,MSFT,0.0,489.0
2025-12-03,476.32,484.24,475.2,477.73,34615102,MSFT,-0.025040816326530546,487.89000000000004
2025-12-03,476.32,484.24,475.2,477.73,34615102,MSFT,0.0,485.84999999999997
2025-12-04,479.76,481.322,476.49,480.84,22318155,MSFT,0.00650995332091342,484.2542857142857
2025-12-04,479.76,481.322,476.49,480.84,22318155,MSFT,0.0,483.4114285714286
2025-12-05,482.515,483.4,478.8801,483.16,22608710,MSFT,0.004824889776225083,482.90000000000003
2025-12-05,482.515,483.4,478.8801,483.16,22608710,MSFT,0.0,481.92285714285714
2025-12-08,484.885,492.3,484.38,491.02,20668450,MSFT,0.016267902972100234,482.0685714285715
2025-12-08,484.885,492.3,484.38,491.02,20668450,MSFT,0.0,483.9671428571428
2025-12-09,489.1,492.12,488.5001,492.02,14092776,MSFT,0.002036576921510269,486.0085714285715
2025-12-09,489.1,492.12,488.5001,492.02,14092776,MSFT,0.0,487.60571428571427
2025-12-10,484.03,484.25,475.08,478.56,35756229,MSFT,-0.02735661151985691,487.28000000000003
2025-12-10,484.03,484.25,475.08,478.56,35756229,MSFT,0.0,486.6228571428572
2025-12-11,476.63,486.03,475.86,483.47,24669180,MSFT,0.010259946506185225,486.6671428571428
2025-12-11,476.63,486.03,475.86,483.47,24669180,MSFT,0.0,485.5885714285714
